Customer account,Invoice no.,due date,Posting profile,transaction txt,Currency,EX rate,Amount,Amount,Department,Cost center,Purpose,,,
50000005,90990932,20191005,OR,21201954900-190818,USD,10633,1.07,113,,,,,,
50000005,90990934,20191005,OR,21201954900-190818,USD,10633,0.63,67,,,,,,
50000005,90990935,20191005,OR,21201954900-190818,USD,10633,0.28,29,,,,,,
50000005,90990937,20191005,OR,21201954900-190818,USD,10633,51.04,5427,,,,,,
50000005,90990939,20191005,OR,21201954900-190818,USD,10633,0.7,75,,,,,,
50000005,90990941,20191005,OR,21201954900-190818,USD,10633,3.95,420,,,,,,
50000005,90990942,20191005,OR,21201954900-190818,USD,10633,6.18,657,,,,,,
50000005,90990943,20191005,OR,21201954900-190819,USD,10633,169,17970,,,,,,
50000005,90990944,20191005,OR,21201954900-190819,USD,10633,1.84,196,,,,,,
50000005,90990949,20191005,OR,21201954900-190820,USD,10633,4,426,,,,,,
50000005,90990950,20191005,OR,21201954900-190820,USD,10633,1.44,153,,,,,,
50000005,90990951,20191005,OR,21201954900-190820,USD,10633,45.44,4832,,,,,,
50000005,90990952,20191005,OR,21201954900-190820,USD,10633,3,319,,,,,,
50000005,90990953,20191005,OR,21201954900-190820,USD,10633,0.46,48,,,,,,
50000005,90990954,20191005,OR,21201954900-190820,USD,10633,0.57,61,,,,,,
50000005,90990955,20191005,OR,21201954900-190820,USD,10633,0.04,4,,,,,,
50000005,90990956,20191005,OR,21201954900-190820,USD,10633,50.31,5350,,,,,,
50000005,90990957,20191005,OR,21201954900-190820,USD,10633,4.47,475,,,,,,
50000005,90990958,20191005,OR,21201954900-190820,USD,10633,0.02,2,,,,,,
50000005,90990972,20191005,OR,21201954900-190821,USD,10633,29.36,3122,,,,,,
50000005,90990973,20191005,OR,21201954900-190821,USD,10633,19.81,2106,,,,,,
50000005,90990974,20191005,OR,21201954900-190821,USD,10633,34.27,3644,,,,,,
50000005,90990975,20191005,OR,21201954900-190821,USD,10633,110.88,11790,,,,,,
50000005,90990976,20191005,OR,21201954900-190821,USD,10633,80.89,8601,,,,,,
50000005,90990977,20191005,OR,21201954900-190821,USD,10633,15.72,1672,,,,,,
50000005,90990978,20191005,OR,21201954900-190821,USD,10633,2.9,308,,,,,,
50000005,90990979,20191005,OR,21201954900-190821,USD,10633,1.16,123,,,,,,
50000005,90990980,20191005,OR,21201954900-190821,USD,10633,0.25,27,,,,,,
50000005,90990991,20191005,OR,21201954900-190822,USD,10633,79.35,8437,,,,,,
50000005,90990993,20191005,OR,21201954900-190822,USD,10633,283.03,30095,,,,,,
50000005,90990994,20191005,OR,21201954900-190822,USD,10633,21.95,2334,,,,,,
50000005,90990995,20191005,OR,21201954900-190822,USD,10633,18.42,1959,,,,,,
50000005,90990996,20191005,OR,21201954900-190822,USD,10633,465.6,49507,,,,,,
50000005,90990997,20191005,OR,21201954900-190822,USD,10633,5330.87,566831,,,,,,
50000005,90990998,20191005,OR,21201954900-190822,USD,10633,416.15,44249,,,,,,
50000005,90990999,20191005,OR,21201954900-190822,USD,10633,60.29,6411,,,,,,
50000005,90991000,20191005,OR,21201954900-190822,USD,10633,176.69,18787,,,,,,
50000005,90991001,20191005,OR,21201954900-190822,USD,10633,174.58,18563,,,,,,
50000005,90991002,20191005,OR,21201928179-190705,USD,10633,1.49,158,,,,,,
50000005,90991003,20191005,OR,21201928179-190705,USD,10633,3.14,334,,,,,,
50000005,90991004,20191005,OR,21201928179-190705,USD,10633,3.39,360,,,,,,
50000005,90991005,20191005,OR,21201928179-190705,USD,10633,1.22,130,,,,,,
50000005,90991006,20191005,OR,21201928179-190705,USD,10633,0.71,75,,,,,,
50000005,90991007,20191005,OR,21201928179-190705,USD,10633,0.64,68,,,,,,
50000005,90991008,20191005,OR,21201928171-190705,USD,10633,188.75,20070,,,,,,
50000005,90991009,20191005,OR,21201928179-190705,USD,10633,12.5,1329,,,,,,
50000005,90991010,20191005,OR,21201928179-190705,USD,10633,2.67,284,,,,,,
50000005,90991011,20191005,OR,21201928179-190705,USD,10633,2.92,311,,,,,,
50000005,90991012,20191005,OR,21201928171-190705,USD,10633,182.34,19389,,,,,,
50000005,90991013,20191005,OR,21201928171-190705,USD,10633,559.25,59465,,,,,,
50000005,90991014,20191005,OR,21201928171-190705,USD,10633,299.38,31833,,,,,,
50000005,90991015,20191005,OR,21201928171-190705,USD,10633,741.12,78803,,,,,,
50000005,90991016,20191005,OR,21201928171-190705,USD,10633,56.77,6037,,,,,,
50000005,90991017,20191005,OR,21201928171-190705,USD,10633,77.75,8267,,,,,,
50000005,90991018,20191005,OR,21201928171-190705,USD,10633,201.2,21393,,,,,,
50000005,90991019,20191005,OR,21201928171-190705,USD,10633,58.68,6240,,,,,,
50000005,90991020,20191005,OR,21201928171-190705,USD,10633,211.86,22527,,,,,,
50000005,90991021,20191005,OR,21201928179-190705,USD,10633,0.38,41,,,,,,
50000005,90991022,20191005,OR,,USD,10633,1122.29,119333,,,,,,
50000005,90991023,20191005,OR,21201946431-190712,USD,10633,23.51,2500,,,,,,
50000005,90991024,20191005,OR,21201946431-190712,USD,10633,2.07,221,,,,,,
50000005,90991025,20191005,OR,21201946431-190712,USD,10633,29,3084,,,,,,
50000005,90991026,20191005,OR,,USD,10633,969.6,103098,,,,,,
50000005,90991027,20191005,OR,21201947598-190713,USD,10633,158.47,16851,,,,,,
50000005,90991028,20191005,OR,21201947598-190713,USD,10633,18,1914,,,,,,
50000005,90991029,20191005,OR,21201947598-190713,USD,10633,10.18,1083,,,,,,
50000005,90991030,20191005,OR,21201947598-190713,USD,10633,15.97,1698,,,,,,
50000005,90991031,20191005,OR,21201947598-190713,USD,10633,153.9,16364,,,,,,
50000005,90991032,20191005,OR,21201947598-190713,USD,10633,4.2,447,,,,,,
50000005,90991033,20191005,OR,21201947598-190713,USD,10633,0.25,26,,,,,,
50000005,90991034,20191005,OR,21201947598-190713,USD,10633,0.12,13,,,,,,
50000005,90991035,20191005,OR,21201947598-190715,USD,10633,18.57,1974,,,,,,
50000005,90991036,20191005,OR,,USD,10633,0.97,103,,,,,,
50000005,90991037,20191005,OR,21201947598-190718,USD,10633,4.47,476,,,,,,
50000005,90991038,20191005,OR,21201947598-190718,USD,10633,7.96,846,,,,,,
50000010,90990636,20191010,OR,21901315,JPY,100,24272,24272,,,0,,,
50000011,90990723,20190831,OR,436005165,JPY,100,2613600,2613600,,,0,,,
50000060,90990981,20191120,OR,SO-1907-04602,JPY,100,21288,21288,,,0,,,
50000060,90990982,20191120,OR,SO-1908-05422,JPY,100,1200000,1200000,,,0,,,
