Vendor account,Invoice no.,due date,Posting profile,transaction txt,Currency,EX rate,Amount,Amount,Department,Cost center,Purpose
102028,5100073347,20191228,Gen,2019/07/19 E150 ,JPY,100,-30240,-30240,,,
102028,5100073348,20191228,Gen,2019/07/19 E150 ,JPY,100,-16750,-16750,,,
102028,5100073349,20191228,Gen,2019/07/19 E150 ,JPY,100,-20736,-20736,,,
102028,5100073350,20191228,Gen,2019/07/19 E150 ,JPY,100,-8640,-8640,,,
102028,5100073388,20191228,Gen,2019/07/19 E150 ,JPY,100,-24084,-24084,,,
102028,5100073389,20191228,Gen,2019/07/19 E150 ,JPY,100,-51840,-51840,,,
102028,5100073394,20191228,Gen,2019/07/22 E150 ,JPY,100,-882684,-882684,,,
102028,5100073395,20191228,Gen,2019/07/22 E150 ,JPY,100,-761400,-761400,,,
102028,5100073992,20200128,Gen,2019/08/20 E150 ,JPY,100,-69012,-69012,,,
102028,5100073993,20200128,Gen,2019/08/20 E150 ,JPY,100,-51840,-51840,,,
102028,5100073994,20200128,Gen,2019/08/20 E150 ,JPY,100,-16750,-16750,,,
102028,5100073995,20200128,Gen,2019/08/20 E150 ,JPY,100,-24084,-24084,,,
102028,5100073996,20200128,Gen,2019/08/20 E150 ,JPY,100,-5832,-5832,,,
102028,5100073997,20200128,Gen,2019/08/20 E150 ,JPY,100,-30240,-30240,,,
102028,5100073998,20200128,Gen,2019/08/20 E150 ,JPY,100,-48600,-48600,,,
102028,5100074020,20200128,Gen,2019/08/21 E150 ,JPY,100,-11016,-11016,,,
102028,5100074021,20200128,Gen,2019/08/21 E150 ,JPY,100,-11016,-11016,,,
102028,5100074022,20200128,Gen,2019/08/21 E150 ,JPY,100,-20736,-20736,,,
102028,5100074023,20200128,Gen,2019/08/21 E150 ,JPY,100,-8640,-8640,,,
102028,5100074176,20200128,Gen,2019/08/23 E150 ,JPY,100,-918000,-918000,,,
102028,5100074177,20200128,Gen,2019/08/23 E150 ,JPY,100,-163080,-163080,,,
102028,5100074178,20200128,Gen,2019/08/23 E150 ,JPY,100,-307044,-307044,,,
102030,5100073682,20190930,Gen,2019/08/05 E030 ,JPY,100,-232200,-232200,,,
102034,5100072530,20191028,Gen,2019/06/11 E120 ,JPY,100,-50112,-50112,,,
102034,5100073591,20191128,Gen,2019/07/31 E120 ,JPY,100,-91152,-91152,,,
102034,5100074179,20191229,Gen,2019/08/23 E120 ,JPY,100,-93936,-93936,,,
102036,5100073696,20190930,Gen,2019/08/07 E030 ,JPY,100,-530834,-530834,,,
102036,5100073697,20190930,Gen,2019/08/07 E030 ,JPY,100,-530834,-530834,,,
102036,5100073698,20190930,Gen,2019/08/07 E030 ,JPY,100,-596741,-596741,,,
102036,5100073699,20190930,Gen,2019/08/07 E030 ,JPY,100,-530834,-530834,,,
102038,5100074024,20190930,Gen,2019/08/21 E030 ,JPY,100,-846720,-846720,,,
102039-JPY,5100074025,20190930,Gen,2019/08/21 E030,JPY,100,-159300,-159300,,,
102043,5100072092,20191028,Gen,2019/05/16 E150 ,JPY,100,-950400,-950400,,,
102043,5100073421,20191228,Gen,2019/07/23 E150 ,JPY,100,-81302,-81302,,,
102043,5100074026,20200128,Gen,2019/08/21 E150 ,JPY,100,-896400,-896400,,,
102047-USD,5100073824,20190930,Gen,2019/08/19 E030 ,USD,10633,-1555.2,-165364,,,
102054,5100073607,20191030,Gen,2019/08/02 E060 ,JPY,100,-246564,-246564,,,
102054,5100074180,20191030,Gen,2019/08/23 E060 ,JPY,100,-270000,-270000,,,
102054,5100074181,20191030,Gen,2019/08/23 E060 ,JPY,100,-270000,-270000,,,
102055,5100073690,20190930,Gen,2019/08/06 E030 ,JPY,100,-113400,-113400,,,
102055,5100074182,20190930,Gen,2019/08/23 E030 ,JPY,100,-45360,-45360,,,
102055,5100074183,20190930,Gen,2019/08/23 E030 ,JPY,100,-56570,-56570,,,
102055,5100074184,20190930,Gen,2019/08/23 E030 ,JPY,100,-52018,-52018,,,
102057,5100073683,20190930,Gen,2019/08/05 E030 ,JPY,100,-27000,-27000,,,
102057,5100073999,20190930,Gen,2019/08/20 E030 ,JPY,100,-356400,-356400,,,
102057,5100074027,20190930,Gen,2019/08/21 E030 ,JPY,100,-43524,-43524,,,
102057,5100074028,20190930,Gen,2019/08/21 E030 ,JPY,100,-211680,-211680,,,
102057,5100074126,20190930,Gen,2019/08/23 E030 ,JPY,100,-101520,-101520,,,
102057,5100074127,20190930,Gen,2019/08/23 E030 ,JPY,100,-204876,-204876,,,
102057,5100074128,20190930,Gen,2019/08/23 E030 ,JPY,100,-204876,-204876,,,
102057,5100074129,20190930,Gen,2019/08/23 E030 ,JPY,100,-167076,-167076,,,
102057,5100074130,20190930,Gen,2019/08/23 E030 ,JPY,100,-27864,-27864,,,
102057,5100074221,20190930,Gen,2019/08/23 E030 ,JPY,100,-8845,-8845,,,
102057,5100074222,20190930,Gen,2019/08/23 E030 ,JPY,100,-138996,-138996,,,
102067-USD,5100071951,20190928,Gen,2019/05/09 E120 ,USD,10633,-4536,-482313,,,
102067-USD,5100072069,20190928,Gen,2019/05/13 E120 ,USD,10633,-1134,-120578,,,
102067-USD,5100074029,20191229,Gen,2019/08/21 E120 ,USD,10633,-1695.6,-180293,,,
102068,5100072810,20190928,Gen,2019/06/26 E090 ,JPY,100,-90720,-90720,,,
102177,5100072757,20190928,Gen,2019/06/25 E090 ,JPY,100,-1296,-1296,,,
102177,5100072811,20190928,Gen,2019/06/26 E090 ,JPY,100,-8510,-8510,,,
102180,5100074030,20190920,Gen,2019/08/21 N030 ,USD,10633,-6000,-637980,,,
102180,5100074223,20190922,Gen,2019/08/23 N030 ,USD,10633,-3600,-382788,,,
102181,1700000505,20190531,Gen,2019/04/26 E030 Salary Apr,JPY,100,-39290535,-39290535,,,
102181,1700000506,20190528,Gen,2019/04/26 Salary deduction Apr,JPY,100,115916,115916,,,
102181,1700000507,20190531,Gen,2019/05/10 E030 Travel exp_190418-190426,JPY,100,-2036,-2036,,,
102181,1700000508,20190531,Gen,2019/05/25 E030 Travel exp_190427-190525,JPY,100,-1656249,-1656249,,,
102181,1700000520,20190830,Gen,2019/07/19 E030 Travel exp_190630-190712,JPY,100,-1011136,-1011136,,,
102181,1700000531,20190830,Gen,2019/07/01 E030 Salary May Correction,JPY,100,-100447376,-100447376,,,
102181,1700000532,20190701,Gen,2019/07/01 Salary deduction,JPY,100,85845,85845,,,
102181,1700000534,20190830,Gen,2019/07/26 E030 Travel exp_190713-190727,JPY,100,-2514951,-2514951,,,
102181,1700000535,20190727,Gen,2019/07/27 Salary deduction May correction Change1,JPY,100,29287832,29287832,,,
102181,1700000536,20190727,Gen,2019/07/27 22500000->21100000 Salary deduction Jun Change1,JPY,100,30112560,30112560,,,
102181,1700000537,20190727,Gen,2019/07/27 Salary Jun Change2??Health insurance refund,JPY,100,11400,11400,,,
102181,1700000539,20190729,Gen,2019/07/29 22500000->21100000 Salary deduction Jul Change1,JPY,100,30040276,30040276,,,
102181,1700000544,20190930,Gen,2019/08/23 E030 Travel exp_190728-190809,JPY,100,-227909,-227909,,,
102181,1900005243,20190830,Gen,2019/07/18 22511000??21100000 Travel exp_190615-190629,JPY,100,-845079,-845079,,,
102181,1900005264,20190830,Gen,2019/07/27 21220000??21100000??Travel exp190526-190614,JPY,100,-2145517,-2145517,,,
102181,1900005266,20190830,Gen,2019/07/27 E030 Salary deduction May correction Change2,JPY,100,-16212875,-16212875,,,
102181,1900005267,20190830,Gen,2019/07/27 E030 LITE payment change occupation phys.1904 May,JPY,100,-459,-459,,,
102181,1900005268,20190830,Gen,2019/07/27 E030 22500000->21100000 Salary Jun Change1,JPY,100,-100535419,-100535419,,,
102181,1900005269,20190830,Gen,2019/07/27 E030 Salary deduction Jun Change2 Resident tax,JPY,100,-8280000,-8280000,,,
102181,1900005324,20190830,Gen,2019/07/29 E030 22500000->21100000 Salary Jul Change1,JPY,100,-101362813,-101362813,,,
102181,1900005325,20190830,Gen,2019/07/29 E030 Salary deduction Jul Change2 Resident tax,JPY,100,-8214900,-8214900,,,
102181,1900005332,20190930,Gen,2019/08/23 E030 LD/PDcontroller (Repurchase asset from LITE),JPY,100,-825700,-825700,,,
102182,5100072990,20190929,Gen,2019/07/03 E060 ,JPY,100,-241704,-241704,,,
102182,5100072991,20190929,Gen,2019/07/03 E060 ,JPY,100,-243000,-243000,,,
102182,5100073171,20190929,Gen,2019/07/12 E060 ,JPY,100,-1549692,-1549692,,,
102182,5100073172,20190929,Gen,2019/07/12 E060 ,JPY,100,-1798200,-1798200,,,
102182,5100073355,20190929,Gen,2019/07/19 E060 ,JPY,100,-57024,-57024,,,
102182,5100073439,20190929,Gen,2019/07/24 E060 ,JPY,100,-51840,-51840,,,
102182,5100073440,20190929,Gen,2019/07/24 E060 ,JPY,100,-1549692,-1549692,,,
102182,5100073441,20190929,Gen,2019/07/24 E060 ,JPY,100,-317520,-317520,,,
102182,5100073608,20191030,Gen,2019/08/02 E060 ,JPY,100,-243000,-243000,,,
102182,5100073701,20191030,Gen,2019/08/07 E060 ,JPY,100,-1549692,-1549692,,,
102182,5100074000,20191030,Gen,2019/08/20 E060 ,JPY,100,-57024,-57024,,,
102182,5100074001,20191030,Gen,2019/08/20 E060 ,JPY,100,-51840,-51840,,,
102184,5100074031,20190930,Gen,2019/08/21 N045 ,USD,10633,-2760,-293471,,,
102184,5100074032,20190930,Gen,2019/08/21 N045 ,USD,10633,-410,-43595,,,
102184,5100074224,20190930,Gen,2019/08/23 N045 ,USD,10633,-5800,-616714,,,
102188,5100072531,20190928,Gen,2019/06/11 E090 ,JPY,100,-68040,-68040,,,
102188,5100072760,20190928,Gen,2019/06/25 E090 ,JPY,100,-97200,-97200,,,
102190,5100072515,20190928,Gen,2019/06/10 E090 ,JPY,100,-324000,-324000,,,
